スキル名,アイコン,タイプ,コスト,CD,スキル所持,説明,min,max,range,square,squareR,rect,line,lineR,low,high,rowRange,highRange,comment,exception
烈風回転斬り,./img/skillIMG/烈風回転斬り.png,物理ダメージ,4,-,ラヴィア,物理ダメージ：自身範囲2マス以内の敵全員に50%の範囲ダメージを与える。<br>ダメージを与えた後、ターゲットに▽物防Lv.2を付与し、2ターン継続する。<br>続けて攻撃し、さらに50%の範囲ダメージを与える。,,,2,,,,,,,,2,2,範囲攻撃;対ユニット,
一掃打撃,./img/skillIMG/一掃打撃.png,物理ダメージ,2,-,ザビエル;マイティ;傭兵・長槍兵;無法者・巨斧兵,物理ダメージ：ターケッド方向3×2エリア内の敵全員に80%のダメージを与え、▽物防Lv.1を付与し、2ターン継続する。,1,1,32,,,1,,,2,2,2,2,範囲攻撃;対地面,
戦闘狂熱,./img/skillIMG/戦闘狂熱.png,パッシブ,-,-,ザビエル,パッシブ：行動中にダメージを与えた後、20%のHPドレインが発生する。,,,,,,,,,,,,,,
捨て身,./img/skillIMG/捨て身.png,パッシブ,-,-,ザビエル;無法者・長槍兵,パッシブ：物攻+20%、物防と魔防-15%。,,,,,,,,,,,,,,
大乱戦,./img/skillIMG/大乱戦.png,物理ダメージ,2,2,ザビエル,物理ダメージ：自身範囲2マス範囲内の敵全員に70%のダメージを与え、40%のHPドレインが発生する。<br>▽被回復を付与し、2ターン継続する。,,,2,,,,,,,,2,2,範囲攻撃;対地面,
負けない意志,./img/skillIMG/負けない意志.png,リアクション,-,-,ザビエル,リアクション：攻撃される前に、自身範囲2マス以内に敵1体が存在するごとに、被ダメージ-10%。<br>最大40%まで。,,,,,,,,,,,,,,
王国の槍,./img/skillIMG/王国の槍.png,パッシブ,-,5,ザビエル,パッシブ：ターン開始時、ENが最大値になる。<br>△素早さLv.3を獲得し、2ターン継続する。<br>CDは5ターン。,,,,,,,,,,,,,,
イリヤの戦旗,./img/skillIMG/イリヤの戦旗.png,陣営オーラ,-,-,ザビエル;王国軍・火の術師,陣営オーラ：フィールド上の陣営が<イリヤ>の味方の攻撃力+10%、防御力+20%。,,,,,,,,,,,,,,
コメットストライク,./img/skillIMG/コメットストライク.png,物理ダメージ,5,-,ザビエル,物理ダメージ：自身十字範囲内の地点1個を選択、突撃し、ターゲット方向の3×4エリアの敵に90%のダメージを与え、▽素早さLv.2を付与し、2ターン継続する。,1,3,34,,,1,1,,1,1,2,2,範囲攻撃;対地面,6
無双,./img/skillIMG/無双.png,物理ダメージ,1,4,ザビエル,物理ダメージ：ターゲット方向3×1エリア内の敵全員に110%のダメージを与え、2マスノックバックする。<br>攻撃後、自身が受け身、先制を獲得し、2ターン継続する。,1,1,31,,,1,,,0,0,2,2,範囲攻撃;対地面,
みんな頑張れ！,./img/skillIMG/みんな頑張れ！.png,支援,3,-,マイサ,支援：範囲3マス以内の味方全員のHPを20%回復させ、△攻撃Lv.1、△物防Lv.1を獲得する。<br>自身範囲2マス以内の味方全員に代わり物理攻撃を受け、2ターン継続する。,,,3,,,,,,,,2,2,対地面,
マイサの突撃,./img/skillIMG/マイサの突撃.png,物理ダメージ,1,5,マイサ,物理ダメージ：自身十字範囲内の敵1体を選択し、近くに突撃して130%のダメージを与え、2マスノックバックする。,1,3,-1,,,,1,,1,1,,,近接;対ユニット,
根性アップ,./img/skillIMG/根性アップ.png,リアクション,-,-,マイサ;軍医「口苦し」;輝ける慈愛;王国軍・剣盾兵;法皇国・剣盾兵,リアクション：回復を受けた場合、被ダメージ軽減Lv.2を獲得し、2ターン継続する。,,,,,,,,,,,,,,
ブロック反撃,./img/skillIMG/ブロック反撃.png,リアクション,-,-,マイサ,リアクション：正面・側面の敵に近接攻撃される時、100%の確率でブロックを発動する。<br>発動後、通常攻撃で反撃して相手に70%の物理ダメージを与える。<br>1ターンで1回発動する。,,,,,,,,,,,,,,
鈴蘭の戦旗,./img/skillIMG/鈴蘭の戦旗.png,陣営オーラ,-,-,マイサ,リーダーのオーラ：フィールド上のすべての陣営が<鈴蘭の剣>の味方の攻撃力+10%、防御力+20%。,,,,,,,,,,,,,,
包帯,./img/skillIMG/包帯.png,回復;即時,-,3,マイサ;癒しの手,回復：即時、単体回復。<br>ターゲットのHPを30%回復させる。,0,1,-1,1,,,,,2,2,,,対ユニット,
マイサの連撃,./img/skillIMG/マイサの連撃.png,物理ダメージ,2,4,マイサ,物理ダメージ：1回20%のダメージを与え、3回50%のダメージを与え、2マスノックバックする。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
シュッシュッシュッ！,./img/skillIMG/シュッシュッシュッ！.png,魔法ダメージ,3,-,ベラ,魔法ダメージ：攻撃前、防御貫通を獲得し、ターゲットに3回50%のダメージを与える。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
ファイア・ウォール,./img/skillIMG/ファイア・ウォール.png,魔法ダメージ,3,-,ベラ,魔法ダメージ：自身十字範囲内の地点1個を選択し、横5マス以内の敵全員に70%の範囲ダメージを与え、パネルを燃焼に変え、2ターン継続する。,1,3,51,,,1,1,,8,6,2,2,範囲攻撃;対地面,2
何かないかな～,./img/skillIMG/何かないかな～.png,支援;即時,-,3,ベラ,支援：即時。<br>ランダムな晶石スキル1個を獲得する。<br>スキルは2ターンの間保持される。<br><br>晶石スキル<br>ベラの[ドッカーン！]、[爆破の火晶石]、[治癒の光晶石]、[氷結の氷晶石]などのスキル,,,0,,,,,,,,,,対ユニット,
ドッカーン！,./img/skillIMG/ドッカーン！.png,魔法ダメージ,1,-,ベラ,自身範囲2マス以内のすべてのキャラクターに130%の[火属性][範囲ダメージ]を与える。<br>自身の被ダメージが与ダメージの半分となる。,,,2,,,,,,,,2,2,範囲攻撃;対地面,
爆破の火晶石,./img/skillIMG/爆破の火晶石.png,魔法ダメージ,1,-,ベラ,ターゲット範囲1マス以内のすべての敵に80%の[火属性][範囲ダメージ]を与え、2マスノックバックする。,1,3,1,,,,,,8,6,2,2,範囲攻撃;対地面,
治癒の光晶石,./img/skillIMG/治癒の光晶石.png,回復,1,-,ベラ,自身範囲3マス以内の味方全員を回復させる。<br>回復量は魔攻値の70％。,,,3,,,,,,,,2,2,対ユニット,
氷結の氷晶石,./img/skillIMG/氷結の氷晶石.png,魔法ダメージ,1,-,ベラ,単体攻撃。<br>80%のダメージを与え、[氷漬け]を付与し、1ターン継続する。,1,3,-1,,,,,,8,8,,,遠距離;対ユニット,
攻撃増幅,./img/skillIMG/攻撃増幅.png,支援,1,3,ベラ;王国軍・火の術師,支援：ターゲット範囲内の味方全員に△攻撃Lv.2を付与、攻撃デバフを無効化し、2ターン継続する。,0,2,2,,,,,,8,8,2,2,対地面,
カワイ子ちゃん,./img/skillIMG/カワイ子ちゃん.png,リアクション,-,-,ベラ,リアクション：被遠距離ダメージ-25%、被範囲ダメージ-40%。,,,,,,,,,,,,,,
インフェルノメテオ,./img/skillIMG/インフェルノメテオ.png,魔法ダメージ,4,-,ベラ;闇の光・火の術師,魔法ダメージ：1ターン準備する。<br>スキル発動後、ターゲット範囲3マス以内のすべての敵ユニットを攻撃し、140%の火属性範囲ダメージを与える。<br>スキル発動後、ターンスキップ。,2,3,3,,,,,,8,8,2,2,範囲攻撃;対地面,
これ試してみて！,./img/skillIMG/これ試してみて！.png,回復,2,4,ベラ,回復：自身範囲3マス以内の他の味方全員のHPを10%、ENを2pt回復させる。,,,3,,,,,,8,8,2,2,対ユニット,
ガチャン！,./img/skillIMG/ガチャン！.png,通常攻撃;物理ダメージ,-,-,ベラ,通常攻撃：単体攻撃。<br>魔攻値80%の物理ダメージを与え、30%の確率でスタンを付与し、1ターン継続する。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
どどどどんと！,./img/skillIMG/どどどどんと！.png,魔法ダメージ,5,-,ベラ,魔法ダメージ：スキルを使用する前は移動できない。<br>ターゲット範囲2マス以内のランダムな敵に5回ダメージを与える(同じターゲットに限らない)。<br>毎回ターゲット範囲1マス以内の敵全員に30%火属性範囲ダメージを与える。<br>50%の確率で火傷を付与する。,3,5,2,,,,,,5,3,2,2,範囲攻撃;対ユニット,
救急,./img/skillIMG/救急.png,回復,2,-,ベラ;癒しの手,回復：単体回復。<br>ターゲットのHPを80%回復させる。,0,1,-1,1,,,,,,,2,2,対ユニット,
心の癒し,./img/skillIMG/心の癒し.png,回復,-,-,サマンサ;輝ける光の鞭;キャンドル,回復：ターゲットを回復させる。<br>回復量は魔攻値の75%。,0,3,-1,,,,,,8,8,,,対ユニット,
審判の光,./img/skillIMG/審判の光.png,魔法ダメージ,3,-,サマンサ;キャンドル,魔法ダメージ：単体攻撃。<br>140%のダメージを与える。<br>攻撃後、フィールド上でHP割合が最も低い味方を回復させる。<br>回復量はスキル所有者魔攻値の50%。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
聖光の恩恵,./img/skillIMG/聖光の恩恵.png,回復,1,2,サマンサ,回復：ターゲット範囲2マス以内の味方全員を回復させる。<br>回復量は魔攻値の40%。<br>中心ターゲットには追加で40%回復させる。<br>回復後、すべてのターゲットが△ダメージLv.1、△物防Lv.1を獲得し、2ターン継続する。,0,2,-1,,,,,,8,8,,,対ユニット,
パニッシュメント,./img/skillIMG/パニッシュメント.png,魔法ダメージ,-,4,サマンサ,魔法ダメージ：ターゲット方向直線5マス以内の敵全員に70%のダメージを与え、?アクティブスキルを付与し、2ターン継続する。<br>敵1体命中するごとに、自身が2ptのENを獲得する。,1,1,15,,,1,,,8,8,8,8,範囲攻撃;対地面,
敬虔な信仰,./img/skillIMG/敬虔な信仰.png,リアクション,-,-,サマンサ,リアクション：3ptのENを所持する場合、不屈を獲得する。<br>不屈が発動する時、3ptのENを消費し、HPを70%まで回復する。<br>1戦で最大2回発動する。,,,,,,,,,,,,,,
防御・飛散,./img/skillIMG/防御・飛散.png,リアクション,-,-,サマンサ;恩寵の閃光;王国軍・弓兵;闇の光・火の術師,リアクション：アクティブ範囲攻撃を受けた場合、被ダメージ-30%。,,,,,,,,,,,,,,
法皇国の戦旗,./img/skillIMG/法皇国の戦旗.png,陣営オーラ,-,-,サマンサ;静謐の戒め,陣営オーラ：フィールド上の陣営が<法皇国>の味方の攻撃力+10%、防御力+20%。,,,,,,,,,,,,,,
世間を浄化する光,./img/skillIMG/世間を浄化する光.png,魔法ダメージ,1,3,サマンサ,魔法ダメージ：自身範囲5マス以内の敵全員に30%のダメージを与える。<br>追加で敵の3個のバフ、他の味方の3個のデバフを解除する。,,,5,,,,,,,,2,2,範囲攻撃;対地面,
サンクチュアリー,./img/skillIMG/サンクチュアリー.png,支援,3,5,サマンサ,支援：自身範囲5マス以内の味方全員が被ダメージ軽減Lv.3、△被回復Lv.3を獲得し、2ターン継続する。<br>自身がヒール・改を獲得し、個性影響範囲が5マスまで拡大し、発動してもENを消費しなく、1ターン解除する。,,,5,,,,,,,,2,2,対ユニット,
吊し人の清算,./img/skillIMG/吊し人の清算.png,パッシブ,-,-,サフィア;ナイトレイヴン;エンフォーサー;スティンガー,パッシブ：攻撃した後、ターゲットが瀕死状態で吊し人のマークを所持する場合、追加でターゲットに30%HPの貫通ダメージを与える。<br>ダメージを与えた後、ターゲットのマーキングが解除される。,,,,,,,,,,,,,,
闇討ち,./img/skillIMG/闇討ち.png,物理ダメージ,2,3,サフィア;スティンガー,物理ダメージ：単体攻撃。<br>130%のダメージを与える。<br>攻撃後、自身が回避を獲得し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
影無き刃,./img/skillIMG/影無き刃.png,支援,1,3,サフィア,支援：影無き刃を獲得し、1ターン継続する。<br>効果：回避が成功した時、ターゲット方向の3×4エリアのすべての敵ユニットに85%の物理範囲ダメージを与え、虚弱Lv. 2を付与し、2ターン継続する。<br>自身のENを2pt回復する。,,,0,,,,,,,,,,対ユニット,
戦術調整,./img/skillIMG/戦術調整.png,支援;即時,1,2,サフィア,支援：即時。<br>任意のターゲットを選択し、自身のロールをターゲットのロールに変化し、変装を獲得する。<br>効果は次の行動が開始するまで持続する。,1,3,-1,,,,,,8,8,,,対ユニット,
裏切り者一掃,./img/skillIMG/裏切り者一掃.png,支援,4,-,サフィア,支援：ターゲットの背後に、吊し人・密偵を1体召喚し、自身能力値の85%を継承し、ターゲットに吊し人のマーク、▽物防Lv. 2、▽魔防Lv. 2を付与し、2ターン継続する。,1,3,-1,,,,,,8,8,,,対ユニット,
吊し人指揮官,./img/skillIMG/吊し人指揮官.png,オーラ,-,-,サフィア,オーラ：自身範囲5マス以内の味方全員が吊し人のマークを所持する敵を攻撃する時、攻撃力+15%。,,,,,,,,,,,,,,
連携攻撃,./img/skillIMG/連携攻撃.png,通常攻撃;物理ダメージ,-,-,サフィア,通常攻撃：単体攻撃。<br>80%の物理ダメージを与える。<br>自身から最も近くにいる他の味方に△素早さLv.3、△攻撃Lv.1を付与し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
破軍強襲刃,./img/skillIMG/破軍強襲刃.png,物理ダメージ,4,-,サフィア,物理ダメージ：単体攻撃。<br>170%のダメージを与える。<br>攻撃前、ターゲットに孤立を付与し、1ターン継続する。<br>ダメージを与えた後、ターゲットに?援護を付与し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
腐食武器,./img/skillIMG/腐食武器.png,貫通ダメージ,1,3,サフィア;癒しの手;無法者・斧盾兵,貫通ダメージ：単体攻撃。<br>ターゲットのHP30%の貫通ダメージを与え、攻撃後▽攻撃Lv.2を付与し、2ターン継続する。,1,3,0,,,,,,8,6,,,遠距離;対ユニット,
猛烈キック,./img/skillIMG/猛烈キック.png,物理ダメージ,3,-,ミゲル,物理ダメージ：単体攻撃。<br>100%ダメージを与え、2マスノックバック、ターゲットに▽移動Lv.2を付与し、2ターン継続する。<br>追撃して50%ダメージを与え、1マスノックバックする。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
回復禁止,./img/skillIMG/回復禁止.png,パッシブ,-,-,ミゲル;闇の光・火の術師,パッシブ：単体攻撃前、50%の確率でターゲットに?被回復を付与し、2ターン継続する。,,,,,,,,,,,,,,
直感,./img/skillIMG/直感.png,パッシブ,-,-,ミゲル;無法者・弩兵,パッシブ：被遠距離ダメージ-20%。,,,,,,,,,,,,,,
爆裂射撃,./img/skillIMG/爆裂射撃.png,物理ダメージ,2,3,ミゲル;恩寵の閃光,物理ダメージ：自身十字範囲内の敵1体を選択し、70%の範囲ダメージを与える。<br>ターゲット範囲1輪以内の敵全員に40%の火属性範囲ダメージを与える。,1,4,1,,1,,1,,5,3,,,範囲攻撃;対ユニット,
手厚い報酬,./img/skillIMG/手厚い報酬.png,デバフ,-,4,ミゲル,デバフ：敵1体をロックオンし、3ターン継続し、ターゲットが倒された時、攻撃者はENを2pt回復する。<br>味方がマーキングされた敵にアクティブ攻撃を行う時、攻撃前、ランダムなLv.2バフを2個獲得し、1ターン継続する。,1,6,0,,,,,,8,6,,,対ユニット,
護身の剃刀,./img/skillIMG/護身の剃刀.png,リアクション,-,-,ミゲル,リアクション：正面と側面に近接攻撃を受ける前、反撃し、相手に50%の物理ダメージを与える。<br>ランダムなLv.2能力値デバフ2個を付与し、2ターン継続する。<br>1ターンで最大1回発動する。,,,,,,,,,,,,,,
目潰しの粉,./img/skillIMG/目潰しの粉.png,支援;即時,2,4,ミゲル,支援：即時。<br>ターゲット方向3×2エリア内の敵全員に失明と▽ダメージLv.2を付与し、1ターン継続する。,1,1,32,,,1,,,2,2,2,2,対地面,
漂泊の果て,./img/skillIMG/漂泊の果て.png,陣営オーラ,-,-,ミゲル,陣営オーラ：フィールド上の陣営が<漂泊者>の味方全員は、攻撃力+15%、防御力+30%。,,,,,,,,,,,,,,
不潔な刃,./img/skillIMG/不潔な刃.png,通常攻撃;物理ダメージ,-,-,ミゲル,通常攻撃：単体攻撃。<br>100%の近接物理ダメージを与える。<br>背面攻撃時、ダメージが追加で+20%、2個のLv.2能力値デバフを付与し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
焼夷弾,./img/skillIMG/焼夷弾.png,通常攻撃;物理ダメージ,-,-,ミゲル,通常攻撃：指定のターゲットパネルを攻撃し、80%の火属性範囲物理ダメージを与える。<br>曲射,2,3,0,,,,,,8,6,2,2,範囲攻撃;対地面,
誘惑の罠,./img/skillIMG/誘惑の罠.png,支援,1,3,ミゲル;鷹の目;無法者・弓兵,支援：トラバサミを1個配置した後、さらに2マス移動できる。<br>残りの移動力を継承する。,1,2,-1,,,,,,2,2,,,対地面,
クリメイション,./img/skillIMG/クリメイション.png,物理ダメージ,4,2,ミゲル,物理ダメージ：ターゲット方向第2、3、4目のパネルにそれぞれ3×3のエリアダメージを与える。<br>1回ごとに敵に40%の火属性範囲ダメージを与える。,1,1,35,,,1,,,5,5,5,5,範囲攻撃;対地面,
聖槍技・突,./img/skillIMG/聖槍技・突.png,物理ダメージ,2,-,グロリア,物理ダメージ：自身十字範囲内の敵1体を選択し、近くに突撃して120%のダメージを与え、2マスノックバックする。<br>自身に掲旗オーラがない時、スキルが剣技・疾風に変化する。<br><br>剣技・疾風<br>自身の十字範囲内にいる敵ユニットを1名選択し、120%の物理ダメージを与える。<br>攻撃前に1マス移動するごとに攻撃力+10%(最大50%)。,1,3,-1,,,,1,,1,1,,,近接;対ユニット,
剣技・疾風,./img/skillIMG/剣技・疾風.png,物理ダメージ,-,4,グロリア,自身の十字範囲内にいる敵ユニットを1名選択し、120%の物理ダメージを与える。<br>攻撃前に1マス移動するごとに攻撃力+10%(最大50%)。,1,2,0,,,,1,,1,1,,,近接;対ユニット,
厳粛,./img/skillIMG/厳粛.png,オーラ,-,-,グロリア,オーラ：自身範囲2マス以内の敵全員の攻撃力-10%。,,,,,,,,,,,,,,
聖槍技・輝,./img/skillIMG/聖槍技・輝.png,支援,-,4,グロリア,支援：自身範囲3マス以内の味方全員が△攻撃Lv.1、被ダメージ軽減Lv.2を獲得し、2ターン継続する。<br>更に1ptのENが回復する。<br>自身に掲旗がない時、スキルが剣技・満月斬りに変化する。<br><br>剣技・満月斬り<br>自身の2マス範囲内にいるすべての敵ユニットに90%の物理ダメージを与える。<br>ターゲットが[負傷]状態の場合、与ダメージ+30%。<br>スキル発動後、自身は[被ダメージ軽減2](2ターン)を得る。,,,3,,,,,,,,2,2,対ユニット,
剣技・満月斬り,./img/skillIMG/剣技・満月斬り.png,物理ダメージ,3,-,グロリア,自身の2マス範囲内にいるすべての敵ユニットに90%の物理ダメージを与える。<br>ターゲットが[負傷]状態の場合、与ダメージ+30%。<br>スキル発動後、自身は[被ダメージ軽減2](2ターン)を得る。,,,2,,,,,,,,2,2,範囲攻撃;対地面,
聖槍ロンギヌス,./img/skillIMG/聖槍ロンギヌス.png,物理ダメージ,1,4,グロリア,物理ダメージ：ターゲット空地範囲2マス以内の敵全員に80%の範囲ダメージを与え、旗を召喚するが、自身が掲旗オーラを失う。<br>自身に掲旗オーラがない時、スキルが聖槍技・掲旗に変化する。<br><br>聖槍技・掲旗<br>[即時]、自身の周囲3マスの範囲内にいる全味方ユニット(自身以外)に[△移動1](2ターン)付与し、自身は[掲旗]のオーラを獲得。,2,3,2,,,,,,4,4,2,2,範囲攻撃;対地面,
聖槍技・掲旗,./img/skillIMG/聖槍技・掲旗.png,支援,1,2,グロリア,即時。<br>自身の周囲3マスの範囲内にいる全味方ユニット(自身以外)に[△移動1](2ターン)付与し、自身は[掲旗]のオーラを獲得。,,,3,,,,,,,,2,2,対地面,
反撃態勢,./img/skillIMG/反撃態勢.png,支援,-,4,グロリア;エンフォーサー,支援：物攻値20%を物防値、魔防値に追加する。<br>反撃ダメージ+50%。<br>先制を獲得し、反撃射程+2マス、2ターン継続する。,,,0,,,,,,,,,,対ユニット,
正義の誓い,./img/skillIMG/正義の誓い.png,陣営オーラ,-,-,グロリア,陣営オーラ：フィールド上の陣営が<騎士連合>の味方の攻撃力+10%、防御力+20%。<br>アクティブ攻撃の場合、ダメージ+12%。<br>反撃された場合、被ダメージ-24%。,,,,,,,,,,,,,,
正義を貫く槍,./img/skillIMG/正義を貫く槍.png,通常攻撃;物理ダメージ,-,-,グロリア,通常攻撃：ターゲット範囲1輪以内の敵全員に70%の物理ダメージを与える。<br>掲旗オーラがない時、スキルが正義を貫く剣に変化する。<br><br>正義を貫く剣<br>単体攻撃。<br>100%の物理ダメージを与える。<br>[正面]攻撃時、与ダメージが130%にアップ。<br>[掲旗]のオーラがある時、スキルは[正義を貫く剣]に変化する。,1,1,1,,1,,,,2,2,2,2,範囲攻撃;対ユニット,
正義を貫く剣,./img/skillIMG/正義を貫く剣.png,物理ダメージ,-,-,グロリア,単体攻撃。<br>100%の物理ダメージを与える。<br>[正面]攻撃時、与ダメージが130%にアップ。<br>[掲旗]のオーラがある時、スキルは[正義を貫く剣]に変化する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
騎士の栄光,./img/skillIMG/騎士の栄光.png,支援;即時,-,4,グロリア;ライトニング;バリスタ;マイティ;テンペスト;騎士連合・剣盾兵,支援：即時。<br>ターゲットに△攻撃Lv.2を付与し、2ターン継続する。<br>ターゲットが<騎士連合>の陣営にいる場合、HP20%の物理シールドを追加で獲得する。,0,2,-1,,,,,,8,6,,,対ユニット,
洞察打撃,./img/skillIMG/洞察打撃.png,物理ダメージ,2,-,王国の槍「烈嘯」;王国軍・長槍兵;無法者・長槍兵,物理ダメージ：単体攻撃。<br>120%のダメージを与える。<br>攻撃前、ターゲットの2個のバフを解除、虚弱Lv.1を付与し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
ウォーミングアップ,./img/skillIMG/ウォーミングアップ.png,パッシブ,-,-,王国の槍「烈嘯」;無法者・巨斧兵,パッシブ：待機時、△移動Lv.1、クライムを獲得し、1ターン継続する。,,,,,,,,,,,,,,
迫る気迫,./img/skillIMG/迫る気迫.png,パッシブ,-,-,王国の槍「烈嘯」,パッシブ：アクティブ単体攻撃した後に先制や反撃を受けなかった場合、追撃し、物攻値50%の貫通ダメージを与え、1ターンで最大1回発動する。,,,,,,,,,,,,,,
王国の槍・激突,./img/skillIMG/王国の槍・激突.png,貫通ダメージ,1,3,王国の槍「烈嘯」,貫通ダメージ：単体攻撃。<br>物高値90%の貫通ダメージを与え、援護無視できる。<br>攻撃前、1マス移動するごとに、攻撃力+3%、最大15%まで。<br>攻撃後、自身が回避を獲得し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
先手利刃突撃,./img/skillIMG/先手利刃突撃.png,貫通ダメージ;即時,3,3,王国の槍「烈嘯」,貫通ダメージ：即時。<br>自身十字範囲内の敵1体を選択して突撃し、物高値30%の貫通ダメージを与える。<br>攻撃前、ターゲットに?リアクションスキルと虚弱Lv.2を付与する。<br>攻撃後、自身が△物防Lv.2と△魔防Lv.2を獲得する。<br>すべての効果は2ターン継続する。,1,4,-1,,,,1,,1,1,,,対ユニット,
狂嵐回転斬り,./img/skillIMG/狂嵐回転斬り.png,通常攻撃;貫通ダメージ,-,-,王国の槍「烈嘯」,通常攻撃：物攻値25%の貫通ダメージを与え、自身範囲1輪以内のすべての敵に物攻値40%の範囲貫通ダメージを与える。,,,1,,1,,,,,,2,2,近接;対ユニット,
口に苦い良薬,./img/skillIMG/口に苦い良薬.png,回復,1,-,軍医「口苦し」,回復：単体回復。<br>ターゲットのHPを40%回復させ、ターゲットが口苦しを所持しない場合、1個の口苦しを付与する。,0,2,-1,,,,,,8,8,,,対ユニット,
晶塵瓶,./img/skillIMG/晶塵瓶.png,貫通ダメージ,1,3,軍医「口苦し」;スティンガー;ウィルダ・斥候;無法者・刺客;無法者・弓兵,貫通ダメージ：ターゲット範囲2マス以内の敵全員にHP10%の貫通ダメージを与え、3スタックの感染を付与する。,1,3,2,,,,,,8,4,2,2,範囲攻撃;対地面,
回復を諦めるな！,./img/skillIMG/回復を諦めるな！.png,回復,3,4,軍医「口苦し」,回復：ターゲット範囲3マス以内のすべての味方を回復させ、回復量は魔攻値の60%に相当し、△攻撃Lv.2、再生Lv.2を付与し、2ターン継続する。<br>さらに、フィールド上のHP割合が最も低い味方2人に口苦しを付与する。,0,0,3,,,,,,0,0,2,2,対ユニット,
オワタ！,./img/skillIMG/オワタ！.png,パッシブ,-,3,軍医「口苦し」,パッシブ：行動開始時、自身範囲3マス以内の負傷状態の味方をランダムで1人回復し、回復量は魔攻値の30%に相当する。<br>さらにデバフを3個解除する。<br>ターゲットが口苦しを所持しない場合、口苦しを付与する。,,,,,,,,,,,,,,
定点解除,./img/skillIMG/定点解除.png,物理ダメージ,2,2,狙撃教官「鋭い一閃」,物理ダメージ：スキル使用前移動不可。<br>単体攻撃。<br>140%のダメージを与える。<br>攻撃前、このターンでターゲットが移動しなかった場合、クリティカル発生率+100%、ターゲットの防御力を30%無視する。,2,5,-1,,,,,,5,3,,,遠距離;対ユニット,
投げ縄射撃,./img/skillIMG/投げ縄射撃.png,物理ダメージ,3,3回,狙撃教官「鋭い一閃」,物理ダメージ：単体攻撃。<br>ターゲットにHPの20%に相当する貫通ダメージを与え、攻撃後にターゲットに禁錮、▽攻撃Lv.2及び?援護を付与し、2ターン継続する。<br>ターゲットが禁錮状態である場合、さらにスタンを付与し、3ターン継続する。<br>3回使用可能。,1,5,-1,,,,,,5,3,,,遠距離;対ユニット,
エース狙撃術,./img/skillIMG/エース狙撃術.png,支援;即時,1,5,狙撃教官「鋭い一閃」,支援：即時。<br>△射程Lv.2を獲得し、効果は行動終了まで継続する。<br>ターゲットを倒した時、再攻撃できる。,,,0,,,,,,,,,,対ユニット,
催眠の一撃(遠距離),./img/skillIMG/催眠の一撃(遠距離).png,通常攻撃;物理ダメージ,-,-,狙撃教官「鋭い一閃」,通常攻撃：100%の物理ダメージを与え、30%の確率でターゲットに睡眠を付与し、1ターン継続する。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
封印の一撃(曲射),./img/skillIMG/封印の一撃(曲射).png,通常攻撃;物理ダメージ,-,-,狙撃教官「鋭い一閃」,通常攻撃：85%の物理ダメージを与える。<br>攻撃前、負傷状態の敵に?パッシブスキルを付与し、2ターン継続する。<br>曲射,2,3,0,,,,,,8,6,,,遠距離;対ユニット,
侵蝕の闇,./img/skillIMG/侵蝕の闇.png,魔法ダメージ,-,-,ナイトレイヴン,魔法ダメージ：ターゲット範囲2マス以内のすべての敵ユニットに55%の範囲ダメージを与え、ランダムなLv.2能力値デバフを2個付与し、2ターン継続する。,,,,,,,,,,,,,,
侵蝕術,./img/skillIMG/侵蝕術.png,魔法ダメージ,1,-,ナイトレイヴン;深淵の心,魔法ダメージ：単体攻撃。<br>85%のダメージを与え、ターゲットにランダムなLv.2能力値デバフ2個を付与し、2ターン継続する。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
侵蝕,./img/skillIMG/侵蝕.png,パッシブ,-,-,ナイトレイヴン;深淵の心,パッシブ：行動終了時、自身範囲3マス以内のランダムな敵1体に、ランダムなLv.1能力値デバフ2個を付与し、2ターン継続する。,,,,,,,,,,,,,,
怒りの目,./img/skillIMG/怒りの目.png,リアクション,-,-,ナイトレイヴン,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>アクティブ攻撃を受けた後、相手に▽ダメージLv.2を付与し、2ターン継続する。,,,,,,,,,,,,,,
幻影のサイクロン,./img/skillIMG/幻影のサイクロン.png,物理ダメージ,3,-,ライトニング,物理ダメージ：ターゲット方向3×4エリア内の敵全員に75%のダメージを与え、▽攻撃Lv.1、▽移動Lv.1を付与し、2ターン継続する。,1,1,34,,,1,,,2,2,2,2,範囲攻撃;対地面,
